municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;edad media;votos totales;votos blancos;participacion;pct_psoe;pct_pp;pct_vox;pct_cs;pct_up_sumar;pct_erc;pct_jxcat;pct_cup;pct_pnv;pct_ehbildu;pct_bng;pct_cc;pct_prc;pct_naplus;pct_teruel;pct_otros
17085;Jafre;Girona;6.6687;42.07266437;3.0113124;41.0;101-500;388;201;187;58.18225441240421;25.600000000000005;2.2;41715.0;25402.0;15766.0;54.0;23.8;16.8;3.9;1.3999999999999997;;209;1;73.89830508474576;0.15311;0.047847;0.038278;0.0;0.086124;0.181818;0.277512;0.177033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038278
17086;Jonquera, La;Girona;57.312137;42.4173111;2.87348755;112.0;2001-5000;3387;1693;1694;59.097429921344585;31.425;2.725;39031.25;19776.0;13227.5;55.325;16.425;23.625;2.85;1.825;;997;8;58.2903040734366;0.314945;0.187563;0.122367;0.0;0.097292;0.127382;0.098295;0.025075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027081
17087;Juià;Girona;8.310599999999999;42.0172189;2.90687621;94.0;101-500;335;178;157;40.309965586118935;24.2;2.3;51290.0;26851.0;17157.0;67.4;14.800000000000002;12.800000000000002;3.8;1.3;;173;0;74.15254237288136;0.196532;0.052023;0.00578;0.0;0.080925;0.231214;0.289017;0.127168;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017341
17088;Lladó;Girona;13.6078;42.24904031;2.81330962;206.0;501-1000;849;423;426;62.39068769382266;26.899999999999995;2.3;45324.0;24579.0;16065.0;61.5;15.800000000000002;18.6;2.6;1.5;;412;5;69.05537459283387;0.213592;0.053398;0.058252;0.0;0.13835;0.184466;0.228155;0.109223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014563
17089;Llagostera;Girona;77.0664;41.82867449;2.8919991;155.0;5001-10000;9208;4611;4597;119.48138228852002;28.2;2.45;37042.5;21318.166666666668;13813.666666666666;64.01666666666667;17.05;12.3;4.683333333333334;2.0;;3637;23;59.59644874899113;0.285675;0.078361;0.067638;0.0;0.109156;0.16882;0.224086;0.038493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02777
17090;Llambilles;Girona;14.8902;41.92072138;2.856219591;142.0;501-1000;715;365;350;48.01815959490134;27.100000000000005;2.2;64599.0;33625.0;21322.0;59.79999999999999;14.6;22.600000000000005;2.5;0.6999999999999998;;412;2;72.86956521739131;0.145631;0.089806;0.043689;0.0;0.075243;0.218447;0.347087;0.065534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014563
17091;Llanars;Girona;24.6668;42.32046928;2.3442646;984.0;501-1000;536;269;267;21.729612272366097;32.1;2.6;40054.0;24772.0;17177.0;49.6;25.7;21.3;2.3;1.1;;230;6;62.69035532994924;0.191304;0.047826;0.03913;0.0;0.104348;0.191304;0.343478;0.065217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017391
17092;Llançà;Girona;27.92504;42.36281096;3.1517566;11.0;2001-5000;4839;2374;2465;173.28533817677612;29.42;2.46;34735.0;22094.8;15822.2;55.52;23.08;16.259999999999998;3.3;1.86;;2303;18;65.54129464285714;0.317412;0.082067;0.070343;0.0;0.09683;0.181068;0.192358;0.037343;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022579
17093;Llers;Girona;21.2102;42.29727963;2.91372377;137.0;1001-2000;1216;609;607;57.33090682784698;29.3;2.6;45955.0;24735.0;16434.0;55.70000000000001;19.5;19.9;3.5;1.3999999999999997;;598;5;66.55948553054662;0.205686;0.122074;0.043478;0.0;0.110368;0.202341;0.217391;0.068562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0301
17094;Llívia;Girona;12.9865;42.465141;1.98244323;1225.0;1001-2000;1506;785;721;115.96658067993687;34.6;3.1;41174.0;25072.0;17918.0;55.20000000000001;17.4;23.7;2.5;1.3;;684;6;62.2439893143366;0.201754;0.137427;0.059942;0.0;0.097953;0.168129;0.263158;0.040936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030702
