id_municipio;nombre_municipio;id_provincia;superficie_km2;perimetro;longitud;latitud;altitud
03021;Banyeres de Mariola;03;50.275886;39273;-0.65685684;38.71635902;812.0
03022;Benasau;03;9.04039;16402;-0.34261264;38.68991329;705.0
03023;Beneixama;03;34.888204;26678;-0.76676743;38.70018533;592.0
03024;Benejúzar;03;9.327958;15599;-0.83819517;38.07806375;23.0
03025;Benferri;03;12.371500000000001;16682;-0.9622579;38.14179352;56.0
03026;Beniarbeig;03;7.403238;17593;-0.00130364;38.82193219;42.0
03027;Beniardà;03;15.739453000000001;21110;-0.21600764;38.68343356;464.0
03028;Beniarrés;03;20.213756;20473;-0.37904234;38.82007885;385.0
03029;Benigembla;03;18.454265;17576;-0.10982699;38.75633514;311.0
03030;Benidoleig;03;7.484278000000001;13133;-0.03173239;38.791917;124.0
03031;Benidorm;03;38.509873999999996;39091;-0.1306853;38.53427136;11.0
03032;Benifallim;03;13.688379;18200;-0.39922559;38.66273419;738.0
03033;Benifato;03;11.880505000000001;15536;-0.22888967;38.67369418;663.0
03034;Benijófar;03;4.359954;8848;-0.73828051;38.0808408;22.0
03035;Benilloba;03;9.538103;16495;-0.3908201;38.69955909;521.0
03036;Benillup;03;3.378822;10655;-0.3789958;38.75380301;564.0
03037;Benimantell;03;37.9279;42148;-0.20984798;38.67659254;546.0
03038;Benimarfull;03;5.563613;10384;-0.39099875;38.77584801;414.0
03039;Benimassot;03;9.512727;14024;-0.291855;38.74905825;725.0
03040;Benimeli;03;3.4555000000000002;11985;-0.04146491;38.82296616;93.0
03041;Benissa;03;69.7279;54367;0.05043358;38.7151969;254.0
03042;el Poble Nou de Benitatxell/Benitachell;03;12.6888;17457;0.144742727;38.73241632;159.0
03043;Biar;03;98.165159;40760;-0.76597374;38.62996229;697.0
03044;Bigastro;03;4.098141;13443;-0.89528476;38.06301558;23.0
03045;Bolulla;03;13.571512;16389;-0.11168494;38.67657681;213.0
03046;Busot;03;33.6141;27547;-0.42050568;38.4819618;312.0
03047;Calp;03;23.593000000000004;32303;0.04453809;38.64526261;55.0
03048;Callosa d'en Sarrià;03;34.661654;30558;-0.12235041;38.65164066;250.0
03049;Callosa de Segura;03;24.9077;41368;-0.87933854;38.12258136;20.0
03050;el Campello;03;55.296800000000005;55497;-0.40086509;38.42754724;26.0
03051;el Camp de Mirra/Campo de Mirra;03;21.815853;26539;-0.778961778;38.68728729;585.0
03052;Cañada;03;19.324451;24508;-0.80952172;38.67518917;556.0
03053;Castalla;03;114.59972499999999;56120;-0.67026538;38.59657643;669.0
03054;Castell de Castells;03;45.926700000000004;28244;-0.19391054;38.72499704;549.0
03055;Catral;03;20.0231;20330;-0.80464175;38.15964959;8.0
03056;Cocentaina;03;52.944709;38405;-0.44022067;38.74541202;433.0
03057;Confrides;03;39.983328;30719;-0.26810894;38.68353731;780.0
03058;Cox;03;16.7097;35761;-0.88437585;38.13972138;16.0
03059;Crevillent;03;104.5501;51135;-0.80855322;38.24881414;129.0
03060;Quatretondeta;03;16.704812;18277;-0.31641906;38.72386675;620.0
03061;Daya Nueva;03;7.093467;11032;-0.76103525;38.11371672;8.0
03062;Daya Vieja;03;3.1428789999999998;7310;-0.73805702;38.1047248;6.0
03063;Dénia;03;66.40050000000001;97600;0.10661934;38.84122705;13.0
03064;Dolores;03;18.701083;21304;-0.76969869;38.13897736;4.0
03065;Elx/Elche;03;326.5014;91867;-0.698854923;38.26536234;81.0
03066;Elda;03;45.5975;30494;-0.79611046;38.47878894;395.0
03067;Fageca;03;10.17479;15760;-0.26771337;38.73467536;769.0
03068;Famorca;03;9.724032;12929;-0.24604552;38.73219338;684.0
03069;Finestrat;03;42.260799999999996;29793;-0.2117688;38.56697349;264.0
03070;Formentera del Segura;03;4.331745000000001;12939;-0.74649853;38.08423377;8.0
03071;Gata de Gorgos;03;20.3387;20128;0.08427495;38.7732101;79.0
03072;Gaianes;03;9.571426;12485;-0.40755768;38.81311114;420.0
03073;Gorga;03;9.106836;18983;-0.35671735;38.71833445;542.0
03074;Granja de Rocamora;03;7.1689;41219;-0.89001674;38.15262779;17.0
03075;el Castell de Guadalest;03;15.9602;21929;-0.19735239;38.67694213;571.0
03076;Guardamar del Segura;03;33.9372;33048;-0.65477035;38.08988071;27.0
03077;el Fondó de les Neus/Hondón de las Nieves;03;68.851772;36777;-0.85486637;38.30855695;367.0
