municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;votos totales;imputado
02085;Viveros;Albacete;65.366666;38.77363475;-2.57590915;1012.0;101-500;337;176;161;5.1555329439626005;27.2;2.2;22314.0;14912.0;10819.0;55.70000000000001;25.3;12.0;4.6;2.5;224;False
02086;Yeste;Albacete;512.2168;38.3668;-2.31896;878.0;2001-5000;2657;1375;1282;5.187256646013953;26.75;2.1;19454.0;12793.5;9141.5;42.2;37.825;7.825;7.45;4.699999999999999;1544;False
03002;Agost;Alicante/Alacant;66.635352;38.43949316;-0.63891979;331.0;2001-5000;4758;2357;2401;71.4035396706541;28.7;2.38;25400.8;14710.4;9733.4;59.42;22.860000000000003;10.16;4.640000000000001;2.88;2531;False
03003;Agres;Alicante/Alacant;25.83659;38.78000404;-0.51595543;719.0;501-1000;565;306;259;21.868210936505164;31.3;2.5;27438.0;18083.0;12435.0;58.0;22.8;12.800000000000002;4.6;1.8;366;False
03004;Aigües;Alicante/Alacant;18.472816;38.49887092;-0.36258669;332.0;501-1000;963;505;458;52.1306551204754;36.5;3.4;26644.0;16870.0;11452.0;58.1;26.899999999999995;10.6;2.3;2.2;421;False
03005;Albatera;Alicante/Alacant;61.5427;38.17894636;-0.86792141;15.0;10001-20000;12279;6260;6019;199.5200080594449;30.26;2.54;24248.2;13485.7;8808.0;60.19;18.4;13.84;4.4;3.15;5829;False
03006;Alcalalí;Alicante/Alacant;14.397787;38.74965349;-0.04160798;226.0;1001-2000;1278;640;638;88.76364124569977;33.9;2.7999999999999994;21655.0;15190.0;10137.0;38.1;44.29999999999999;14.4;1.8;1.3999999999999997;358;False
03007;Alcocer de Planes;Alicante/Alacant;4.387155;38.79447224;-0.40197036;345.0;101-500;230;117;113;52.42577479026841;36.0;2.5;29177.0;19044.0;13488.0;56.79999999999999;21.2;17.7;2.7000000000000006;1.5;139;False
03008;Alcoleja;Alicante/Alacant;14.558836;38.67548564;-0.33100925;735.0;101-500;173;93;80;11.882818104414392;27.899999999999995;2.5;24337.0;17010.0;11817.0;41.3;38.8;11.6;6.0;2.4;117;False
03009;Alcoy/Alcoi;Alicante/Alacant;129.860503;38.69764173;-0.473163128;564.0;50000-100000;58994;28866;30128;454.2874749222248;29.226315789473684;2.487719298245614;27311.245614035088;16723.526315789473;11206.877192982456;59.43157894736842;24.41578947368421;9.712280701754386;4.140350877192983;2.326315789473684;33004;False
03010;Alfafara;Alicante/Alacant;19.777677;38.77274828;-0.55552339;580.0;101-500;410;202;208;20.73044271073898;25.2;2.0;28198.0;16905.0;11393.0;55.79999999999999;23.0;14.9;3.8;2.6;267;False
03011;Alfàs del Pi, l';Alicante/Alacant;19.259507;38.58009496;-0.1026002;89.0;20001-50000;20482;10187;10295;1063.4747815715118;33.92;3.04;25912.2;14983.3;9448.2;56.46;21.55;16.75;2.7;2.58;5162;False
03012;Algorfa;Alicante/Alacant;18.4709;38.08681637;-0.79568423;23.0;2001-5000;2935;1461;1474;158.89859183905494;33.3;2.7999999999999994;19684.0;13155.0;8337.0;47.1;35.1;13.0;2.7000000000000006;2.1;842;False
03013;Algueña;Alicante/Alacant;18.5758;38.33800138;-1.00303745;530.0;1001-2000;1336;668;668;71.92153231623941;29.7;2.7000000000000006;23400.0;14325.0;9733.0;50.1;29.7;11.699999999999998;4.7;3.8;791;False
03014;Alicante/Alacant;Alicante/Alacant;202.5549;38.34548705;-0.4831832;5.0;100001-500000;334887;162191;172696;1653.3147309692336;33.42777777777778;3.108730158730159;29184.21825396825;17328.261904761905;11605.369047619048;57.16269841269841;25.72301587301587;10.345238095238097;4.3503968253968255;2.4492063492063494;159501;False
03015;Almoradí;Alicante/Alacant;42.694;38.10977991;-0.79201713;10.0;20001-50000;20803;10510;10293;487.258162739495;32.97857142857143;2.9714285714285715;23525.571428571428;12847.785714285714;8241.57142857143;60.3;19.142857142857142;11.87142857142857;5.4;3.314285714285714;8971;False
03016;Almudaina;Alicante/Alacant;8.820194;38.76155764;-0.35370678;570.0;101-500;113;57;56;12.8115095881111;38.7;2.7999999999999994;29893.0;22121.0;15091.0;51.9;30.600000000000005;12.5;4.2;0.6999999999999998;66;False
03017;Alqueria d'Asnar, l';Alicante/Alacant;1.083702;38.77311802;-0.42552267;363.0;101-500;493;238;255;454.92210958363097;26.5;2.0;26087.0;15953.0;10510.0;63.1;16.9;14.4;3.1;2.5;310;False
03018;Altea;Alicante/Alacant;34.653600000000004;38.59892497;-0.05144236;60.0;20001-50000;22290;10911;11379;643.2232149040791;33.71666666666667;2.861111111111111;27099.83333333333;15887.5;10412.944444444443;53.87222222222223;20.64444444444445;20.177777777777777;2.8;2.522222222222222;8448;False
