id_municipio;nombre_municipio;total_paro;p_h_u25;p_h_25_44;p_h_o45;p_m_u25;p_m_25_44;p_m_o45;p_agr;p_ind;p_con;p_ser;p_sin_empleo;total_contratos;c_h_indef;c_h_temp;c_h_conv;c_m_indef;c_m_temp;c_m_conv;c_agr;c_ind;c_con;c_ser
45028;CALERA Y CHOZAS;547;23;45;96;25;154;204;26;56;30;406;29;57;4;31;3;1;18;0;11;15;5;26
45029;CALERUELA;18;2;2;1;2;5;6;2;1;2;13;0;2;0;0;0;0;1;1;0;0;0;2
45030;CALZADA DE OROPESA;53;6;4;14;1;7;21;2;3;4;42;2;15;0;9;0;0;5;1;0;0;2;13
45031;CAMARENA;337;11;46;76;15;90;99;32;32;21;234;18;114;1;96;0;0;14;3;85;2;15;12
45032;CAMARENILLA;56;5;8;8;1;17;17;1;3;3;46;3;44;0;40;0;0;4;0;41;0;0;3
45033;CAMPILLO DE LA JARA, EL;37;0;6;14;2;7;8;4;1;6;24;2;2;0;0;0;0;2;0;0;0;0;2
45034;CAMUÑAS;134;3;10;26;4;40;51;42;13;5;69;5;91;0;66;0;1;24;0;54;7;3;27
45035;CARDIEL DE LOS MONTES;50;1;2;14;1;13;19;0;2;6;39;3;1;1;0;0;0;0;0;1;0;0;0
45036;CARMENA;69;3;8;18;3;13;24;4;8;6;44;7;9;0;6;0;0;3;0;0;0;3;6
45037;CARPIO DE TAJO, EL;164;9;19;32;10;44;50;11;20;12;109;12;15;0;7;0;1;7;0;0;7;1;7
45038;CARRANQUE;395;18;48;68;10;91;160;7;42;27;284;35;54;1;14;3;2;34;0;0;1;5;48
45039;CARRICHES;19;0;3;5;1;5;5;2;2;0;14;1;1;0;0;0;1;0;0;0;0;0;1
45040;CASAR DE ESCALONA, EL;194;7;22;48;9;54;54;3;15;24;138;14;4;1;3;0;0;0;0;0;0;2;2
45041;CASARRUBIOS DEL MONTE;365;17;56;84;12;93;103;9;40;39;246;31;176;8;82;15;4;62;5;0;68;8;100
45042;CASASBUENAS;8;1;2;0;3;0;2;0;3;1;4;0;2;0;1;1;0;0;0;0;1;0;1
45043;CASTILLO DE BAYUELA;74;6;9;13;0;18;28;4;4;3;53;10;9;1;8;0;0;0;0;1;1;0;7
45045;CAZALEGAS;237;12;30;42;11;72;70;14;16;17;174;16;31;2;13;1;0;14;1;0;1;2;28
45046;CEBOLLA;545;20;59;100;32;139;195;49;75;40;358;23;79;1;39;1;0;38;0;15;19;23;22
45047;CEDILLO DEL CONDADO;365;24;57;55;10;115;104;7;35;35;257;31;41;3;24;1;2;8;3;16;4;9;12
45048;CERRALBOS, LOS;37;1;8;3;3;9;13;2;4;5;25;1;5;0;3;0;0;2;0;3;0;0;2
45049;CERVERA DE LOS MONTES;54;2;2;13;2;14;21;2;8;3;38;3;1;0;1;0;0;0;0;0;0;0;1
45050;CIRUELOS;42;1;8;10;4;11;8;1;3;6;30;2;4;0;2;0;0;2;0;0;0;2;2
45051;COBEJA;229;18;27;31;13;62;78;8;32;16;147;26;25;1;8;4;0;10;2;2;4;5;14
45052;COBISA;216;10;19;44;14;50;79;1;13;11;177;14;8;1;0;2;1;4;0;1;0;2;5
45053;CONSUEGRA;759;23;75;127;22;205;307;136;86;66;435;36;370;5;184;5;5;163;8;94;24;18;234
45054;CORRAL DE ALMAGUER;441;15;55;93;19;112;147;77;49;20;268;27;260;7;170;5;1;75;2;154;13;6;87
45055;CUERVA;97;1;10;22;6;21;37;8;21;8;48;12;4;1;1;0;0;2;0;1;0;0;3
45056;CHOZAS DE CANALES;499;25;83;89;23;152;127;37;50;42;335;35;3;0;1;0;0;2;0;0;0;0;3
45057;CHUECA;27;1;2;5;1;5;13;2;8;0;15;2;4;0;1;0;0;2;1;1;2;0;1
45058;DOMINGO PEREZ;40;1;3;7;0;16;13;7;3;2;25;3;14;0;11;1;0;2;0;11;0;0;3
45059;DOSBARRIOS;203;6;17;42;9;58;71;21;30;11;117;24;96;0;37;4;0;54;1;8;58;0;30
45060;ERUSTES;23;2;1;9;1;5;5;2;1;3;16;1;4;1;0;0;3;0;0;0;4;0;0
45061;ESCALONA;385;17;39;97;11;99;122;9;16;44;297;19;27;1;11;2;0;12;1;1;4;4;18
45062;ESCALONILLA;126;5;12;29;5;35;40;18;12;9;74;13;22;0;12;3;0;6;1;5;14;0;3
45063;ESPINOSO DEL REY;40;2;5;17;0;9;7;7;4;4;25;0;2;1;0;0;0;1;0;0;2;0;0
45064;ESQUIVIAS;412;15;50;72;14;110;151;28;51;24;281;28;75;2;33;2;2;36;0;0;16;11;48
45065;ESTRELLA, LA;10;0;0;6;0;4;0;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0
45066;FUENSALIDA;1040;33;149;177;40;294;347;95;172;71;567;135;178;7;76;3;31;60;1;32;44;10;92
45067;GALVEZ;261;12;28;54;9;71;87;29;34;10;171;17;20;3;10;0;0;7;0;3;1;5;11
45068;GARCIOTUM;16;0;3;3;2;4;4;0;0;2;14;0;7;0;3;0;0;3;1;0;0;1;6
45069;GERINDOTE;276;10;34;47;18;75;92;8;30;21;188;29;27;1;12;1;0;12;1;1;9;1;16
45070;GUADAMUR;126;3;17;28;11;34;33;12;8;7;83;16;35;1;22;1;3;8;0;9;16;0;10
45071;GUARDIA, LA;258;10;32;41;17;50;108;14;12;106;104;22;95;2;59;2;2;29;1;36;3;11;45
45072;HERENCIAS, LAS;91;0;11;23;3;19;35;3;4;13;70;1;7;0;6;0;0;1;0;1;0;2;4
45073;HERRERUELA DE OROPESA;19;1;2;6;3;4;3;2;3;0;12;2;2;0;0;0;0;1;1;0;0;0;2
45074;HINOJOSA DE SAN VICENTE;46;2;0;14;4;12;14;1;2;5;35;3;5;0;4;0;0;1;0;0;2;0;3
45075;HONTANAR;6;1;1;1;1;0;2;1;0;0;4;1;38;1;30;0;1;6;0;37;0;0;1
45076;HORMIGOS;88;3;14;20;3;23;25;2;6;10;65;5;5;0;2;0;1;2;0;0;0;1;4
