ID_MUNICIPIO;FECHA_ELECCION;V_ANDECHA_2019;V_AVANT_ADELANTE_LOS_VERDES_2019;V_AxS�_2019;V_CAnda_2019;V_CCa-PNC-NC_2019;V_CHA_2019;V_CONTIGO_2019;V_CUP_2019;V_CUP-PR_2019;V_CpM_2019;V_Cs_2019;V_DPL_2019;V_EAJ-PNV_2019;V_ECP-GUANYEM_2019;V_EH_Bildu_2019;V_EXTREMADURA_UNIDA_2019;V_FE_de_las_J_2019;V_FIA_2019;V_GBAI_2019;V_IFem_2019;V_IZAR_2019;V_IZQP_2019;V_JxCAT-JUNTS_2019;V_JxCat_2019;V_MAS_2019;V_MDyC_2019;V_M_PA�S-CHA-_2019;V_M�S-ESQUERR_2019;V_M�S_COMPROM_2019;V_M�S_PA�S_2019;V_M�S_PA�S-EQ_2019;V_P-LIB_2019;V_PACMA_2019;V_PCPE_2019;V_PCTE_2019;V_PDSJE_2019;V_PH_2019;V_PODEMOS-EU_2019;V_PODEMOS-IU_2019;V_PP_2019;V_PPSO_2019;V_PRC_2019;V_PREPAL_2019;V_PSOE_2019;V_PUM+J_2019;V_PYLN_2019;V_RECORTES_CERO-GV_2019;V_RISA_2019;V_SOLIDARIA_2019;V_SOMOS_REGI�_2019;V_SUMAR_2019;V_Teruel_Existe_2019;V_UDT_2019;V_UIG-SOM-CUIDES_2019;V_UNIDOS_S�-A_2019;V_UNI�N_REGIO_2019;V_UPL_2019;V_VERDES_2019;V_VOX_2019;V_XAV_2019;V_centrados_2019;V_�TERUEL_EXI_2019
29079;2019-11;0;0;1;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;15;0;8;1;0;0;0;0;222;261;0;0;0;675;2;0;0;0;0;0;0;0;0;0;0;0;0;0;283;0;0;0
29080;2019-11;0;0;10;0;0;0;0;0;0;0;294;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;51;0;46;9;2;0;0;0;578;1008;0;0;0;1502;3;0;16;0;0;0;0;0;0;0;0;0;0;0;1056;0;0;0
29081;2019-11;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;45;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0
29082;2019-11;0;0;39;0;0;0;0;0;0;0;2673;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;601;0;395;13;7;0;0;0;3339;5815;0;0;0;6348;28;0;51;0;0;0;0;0;0;0;0;0;0;0;4893;0;0;0
29083;2019-11;0;0;1;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;3;0;1;0;0;0;89;379;0;0;0;639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251;0;0;0
29084;2019-11;0;0;55;0;0;0;0;0;0;0;1703;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;295;0;152;10;4;0;0;0;1647;4070;0;0;0;5446;24;0;16;0;0;0;0;0;0;0;0;0;0;0;4092;0;0;0
29085;2019-11;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;14;0;0;0;39;0;0;1;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0
29086;2019-11;0;0;1;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;0;0;0;0;43;100;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0
29087;2019-11;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;2;1;0;0;0;59;36;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0
29088;2019-11;0;0;4;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;13;0;12;0;0;0;0;0;210;296;0;0;0;763;0;0;2;0;0;0;0;0;0;0;0;0;0;0;318;0;0;0
