ID_MUNICIPIO;V_BLANCOS_2019;PARTICIPACION_2019
11002;16;75.2963489805595
11003;9;65.20325203252033
11004;830;61.40081629021675
11005;34;66.0603371783496
11006;231;62.43739565943238
11007;213;54.74711623779947
11008;192;65.29040897171232
11009;0;68.9119170984456
11010;112;63.18950529476845
11011;8;65.12166859791425
11012;861;68.95488961259105
11013;13;66.49659863945578
11014;222;63.49473928965879
11015;776;61.53165460924643
11016;137;62.02665959281119
11017;37;64.22764227642277
11018;8;69.80474198047419
11019;13;70.17643710870803
11020;1580;66.6808576979349
11021;61;64.85551485551485
11022;398;50.749205698472885
11023;116;67.7924568506286
11024;67;68.70229007633588
11025;30;64.19753086419753
11026;17;72.04850031908104
11027;567;66.26195946142438
11028;310;66.81287885710805
11029;44;51.929437706725466
11030;207;64.60280881777469
11031;654;65.12489041830767
11032;492;57.663846814419614
11033;213;61.277747202348195
11034;17;65.54549374730487
11035;125;62.06821322085666
11036;15;58.711566617862374
11037;24;77.33380480905232
11038;99;73.70158450704226
11039;152;61.60490107462087
11040;3;83.83838383838383
11041;100;65.23457290505623
11042;6;69.6027633851468
11901;99;65.49921589127025
11902;46;57.94213973799127
11903;22;63.08648954211419
14001;11;74.87583990651476
14002;109;69.7475906379073
14003;5;74.29718875502009
14004;15;74.63066734589914
14005;71;62.00381073356621
14006;8;82.48673237300986
14007;99;68.24720298348427
14008;21;68.1653372008702
14009;24;62.495288352808146
14010;14;69.78957915831663
14011;3;76.55172413793103
14012;56;69.71551438967913
14013;153;72.0139599253866
14014;20;78.60576923076923
14015;16;71.63814180929096
14016;5;73.52710133542813
14017;84;72.3911257189811
14018;31;72.76748686756981
14019;71;77.31974921630093
14020;0;67.55952380952381
14021;2192;71.11436950146629
14022;15;74.41381087348621
14023;11;81.49074537268635
14024;5;76.63601946998378
14025;9;82.99223712067749
14026;20;64.7
14027;78;74.03041825095058
14028;3;79.80132450331125
14029;30;71.35716070982254
14030;84;73.58587810849117
14031;5;83.09352517985612
14032;0;77.83505154639175
14033;8;70.62146892655367
14034;1;73.50993377483444
14035;35;70.59231035677173
14036;39;71.2265433777536
14037;22;70.64220183486239
14038;242;71.299859507666
14039;29;72.09934031819945
14040;53;77.48732995465457
14041;43;71.76357211692901
14042;206;73.75234019791388
14043;63;71.87415608965703
14044;10;73.52758834469931
14045;30;77.71104437771105
14046;34;73.90814948221521
14047;14;72.87104622871047
14048;4;73.64470391993328
14049;145;71.43033673154156
14050;20;75.48936170212765
14051;7;73.69614512471655
14052;79;61.721429361655055
14053;92;68.50287259209192
14054;105;75.96370235934664
14055;192;70.90326435283255
14056;177;67.41065723899987
14057;59;77.5215202208868
14058;69;69.2982456140351
14059;11;77.61413843888072
14060;41;73.05518169582771
14061;1;78.02037845705968
14062;2;74.07407407407408
14063;8;73.54124748490946
14064;6;71.28378378378379
14065;13;75.49450549450549
14066;59;71.60751565762004
14067;42;74.51847995835502
14068;3;75.04835589941973
14069;69;69.48228882833789
14070;4;71.171875
14071;5;63.04347826086957
14072;6;70.39674465920652
14073;33;69.86994219653178
14074;17;79.7752808988764
14075;5;74.81884057971014
14901;6;80.79399141630901
14902;15;78.79604672057502
18001;0;66.21621621621621
18002;1;73.15689981096408
18003;105;70.30579770305798
18004;6;69.80568011958147
18005;3;63.91184573002755
18006;25;68.06991629739045
18007;3;67.12328767123287
18010;5;75.52182163187857
18011;24;68.18078582784464
18012;9;71.8543046357616
18013;28;69.61964371689938
18014;64;70.10665897953301
18015;4;78.06603773584906
18016;3;67.34006734006735
18017;94;63.18334157463875
18018;2;70.84870848708486
18020;2;65.03067484662577
18021;139;67.85096770595125
18022;98;64.49009009009009
18023;132;69.75885983330153
18024;11;77.77777777777779
18025;0;71.48014440433214
18027;12;66.5896843725943
18028;3;80.51224944320712
18029;7;60.9271523178808
18030;2;67.49116607773851
18032;1;66.39676113360325
18033;0;64.15770609318996
18034;3;71.28099173553719
18035;7;74.80916030534351
18036;22;74.15955845459106
18037;2;77.94392523364486
18038;5;75.04798464491363
18039;22;68.591085851032
18040;0;61.60337552742617
18042;4;79.61630695443645
18043;0;57.36434108527132
18044;0;56.52173913043478
18045;11;67.6056338028169
18046;7;59.95397008055235
18047;61;65.41045387514338
18048;18;68.48436246992783
18049;4;71.08843537414967
18050;5;67.49545178896301
18051;8;67.3076923076923
18053;9;64.41441441441441
18054;2;69.8780487804878
18056;30;70.87522176227084
18057;51;72.38538681948424
18059;23;69.4021101992966
18061;5;78.17817817817819
18062;88;70.98699447710672
18063;9;55.76298701298701
18064;0;78.96174863387978
18065;2;78.91156462585033
18066;12;66.87350835322195
18067;2;64.80938416422288
18068;12;73.07692307692307
18069;5;73.55371900826447
18070;3;75.26132404181185
18071;45;69.35770049680625
18072;4;69.00763358778626
18074;0;77.35849056603774
18076;2;67.68060836501901
18077;1;74.3099787685775
18078;5;76.47058823529412
18079;22;68.98442008078477
18082;3;62.098765432098766
18083;1;78.01724137931035
18084;35;71.32142069269798
18085;1;63.76811594202898
18086;1;74.85207100591717
18087;1106;72.07631358782133
18088;10;65.53079947575361
18089;100;67.93987865416436
18093;18;61.541257724463826
18094;20;74.46715963462374
18095;14;71.81110029211295
18096;0;66.76470588235294
