Código;Distribución de la renta P80/P20;Índice de Gini;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona
03088;2.3;28.0;18535.0;16450.0;38019.0;14729.0;31762.0;12305.0
03089;2.3;28.4;16207.0;15050.0;31187.0;12690.0;26954.0;10968.0
03090;2.6;31.1;21611.0;19250.0;48271.0;17452.0;39097.0;14135.0
03091;3.3;34.9;17625.0;15750.0;31498.0;15185.0;26321.0;12689.0
03092;2.5;28.3;18588.0;16450.0;38145.0;14926.0;31576.0;12356.0
03093;2.4;29.1;18035.0;16450.0;37215.0;14498.0;31100.0;12116.0
03094;2.6;30.7;19336.0;17150.0;43518.0;15273.0;35859.0;12585.0
03095;2.6;29.6;17739.0;16450.0;36914.0;13831.0;31395.0;11763.0
03096;2.2;26.5;19060.0;17850.0;37740.0;15351.0;31820.0;12943.0
03097;2.8;34.0;17600.0;15750.0;34140.0;14478.0;28895.0;12254.0
03098;2.4;30.0;18858.0;17500.0;35925.0;15696.0;30240.0;13212.0
03099;2.9;33.0;17019.0;15050.0;35129.0;13630.0;29671.0;11512.0
03100;2.7;33.7;17359.0;15050.0;32806.0;14446.0;27892.0;12282.0
03101;2.7;31.2;18690.0;16450.0;38425.0;15415.0;31756.0;12740.0
03102;2.5;29.2;18041.0;16450.0;35457.0;14604.0;30064.0;12383.0
03103;2.5;30.0;21129.0;19250.0;40579.0;18458.0;33570.0;15270.0
03104;2.2;26.9;17548.0;15750.0;34897.0;13841.0;29788.0;11815.0
03105;2.4;30.8;16041.0;15050.0;31896.0;12616.0;27534.0;10891.0
03106;2.1;27.5;19080.0;17150.0;33786.0;15723.0;29213.0;13595.0
03107;2.5;30.3;17270.0;15750.0;34415.0;13930.0;28779.0;11648.0
03109;2.4;28.1;15580.0;14350.0;34147.0;11659.0;29469.0;10062.0
03110;2.4;29.7;19114.0;17150.0;37047.0;15632.0;30362.0;12812.0
03111;2.3;26.9;16046.0;15050.0;34323.0;12177.0;29722.0;10544.0
03112;2.9;33.3;18854.0;17150.0;35508.0;15604.0;30091.0;13223.0
03113;3.4;35.4;15649.0;14350.0;31132.0;12740.0;26260.0;10746.0
03114;2.4;29.1;15541.0;14350.0;29923.0;12274.0;26101.0;10706.0
03115;2.4;29.3;17368.0;15750.0;32635.0;14078.0;28159.0;12147.0
03116;2.2;25.5;17324.0;16450.0;33774.0;13501.0;29148.0;11652.0
03117;2.3;28.1;17526.0;16450.0;32299.0;14481.0;27774.0;12452.0
03118;3.2;34.4;14754.0;13650.0;27190.0;12098.0;23694.0;10542.0
03119;2.8;32.4;21739.0;19250.0;47732.0;18075.0;38379.0;14533.0
03120;3.3;35.3;15293.0;13650.0;30217.0;12325.0;25715.0;10489.0
03121;2.8;32.2;17907.0;15750.0;35494.0;14814.0;29628.0;12366.0
03122;2.5;28.3;19794.0;17850.0;42811.0;15668.0;35712.0;13070.0
03123;2.2;27.6;17550.0;15750.0;34838.0;14069.0;29510.0;11917.0
03124;2.4;26.9;19925.0;19950.0;36133.0;16989.0;30403.0;14295.0
03125;3.0;32.8;16636.0;16450.0;36936.0;13188.0;29842.0;10655.0
03127;3.3;35.7;15608.0;14350.0;28742.0;12815.0;25018.0;11154.0
03128;3.4;37.7;17688.0;14350.0;38674.0;14878.0;31407.0;12083.0
03129;2.2;27.0;21650.0;19950.0;41045.0;18818.0;33721.0;15460.0
03130;;;;;;;;
03131;2.3;30.1;24407.0;17150.0;46591.0;19688.0;38601.0;16312.0
03132;2.6;30.7;19026.0;17150.0;36503.0;15846.0;30697.0;13326.0
03133;3.5;37.2;14207.0;12250.0;28157.0;11488.0;24186.0;9868.0
03134;2.7;34.9;20941.0;16450.0;35284.0;18390.0;29274.0;15258.0
03135;2.7;31.7;19960.0;19950.0;36946.0;17052.0;31568.0;14570.0
03136;2.4;31.7;18561.0;15750.0;34418.0;15767.0;28963.0;13268.0
03137;2.5;28.3;16974.0;17150.0;31768.0;13783.0;27230.0;11814.0
03138;2.5;29.0;17280.0;16450.0;34748.0;13705.0;29752.0;11735.0
03139;2.5;30.4;18341.0;16450.0;36509.0;14962.0;30887.0;12658.0
03140;2.3;27.7;17696.0;16450.0;35643.0;14063.0;30301.0;11956.0
03901;2.8;32.1;19953.0;17850.0;37597.0;16952.0;31207.0;14071.0
03902;2.8;32.1;17106.0;15050.0;36283.0;13669.0;30407.0;11455.0
03903;2.7;30.7;16097.0;15050.0;32545.0;12642.0;27938.0;10852.0
03904;2.3;27.3;15904.0;15050.0;32435.0;12324.0;28006.0;10641.0
04001;2.5;30.2;17336.0;15750.0;30339.0;14168.0;26577.0;12411.0
04002;2.4;31.5;15977.0;14350.0;26150.0;13516.0;23110.0;11944.0
04003;2.4;28.7;15441.0;13650.0;32121.0;11687.0;27911.0;10156.0
04004;2.5;30.8;16166.0;14350.0;27203.0;13816.0;23696.0;12035.0
