ID_MUNICIPIO;FECHA_ELECCION;V_ALCD_2016;V_C's_2016;V_CCD_2016;V_CCD-CI_2016;V_CCa-PNC_2016;V_CCa-PNC-NC_2016;V_CILUS_2016;V_CUP_2016;V_EAJ-PNV_2016;V_EB_2016;V_ECP_2016;V_ENTABAN_2016;V_ERC-CATSÍ_2016;V_FE_2016;V_FE_de_las_J_2016;V_FME_2016;V_IMC_2016;V_INDEPENDIEN_2016;V_IZAR_2016;V_JXC_2016;V_Ln_2016;V_MAS_2016;V_PACMA_2016;V_PCOE_2016;V_PCPE_2016;V_PFyV_2016;V_PH_2016;V_PODEMOS-COM_2016;V_PODEMOS-EN_MAREA-ANOVA-EU_2016;V_PODEMOS-IU-EQUO_2016;V_PP_2016;V_PREPAL_2016;V_PSOE_2016;V_PUEDE_2016;V_PxC_2016;V_RECORTES_CERO-GRUPO_VERDE_2016;V_REPO_2016;V_SAIn_2016;V_SI_2016;V_SOMVAL_2016;V_SUMAR_2016;V_Teruel_Existe_2016;V_UDT_2016;V_UNIDAD_DEL_PUEBLO_2016;V_UPL_2016;V_UPyD_2016;V_VOX_2016
46152;2016-06;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;0;33;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46153;2016-06;0;26;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;117;0;0;104;0;94;0;0;1;0;0;0;1;0;0;0;0;0;0;0
46154;2016-06;0;97;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;97;0;0;306;0;102;0;0;1;2;0;0;6;0;0;0;0;0;0;0
46155;2016-06;0;66;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;282;0;0;258;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46156;2016-06;0;167;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;14;0;3;0;0;465;0;0;611;0;385;0;0;3;2;0;0;7;0;0;0;0;0;1;3
46157;2016-06;0;214;2;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;29;0;1;0;0;540;0;0;1006;0;474;0;0;1;0;0;0;6;0;0;0;0;0;0;10
46158;2016-06;0;70;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;244;0;0;268;0;196;0;0;2;0;0;0;0;0;0;0;0;0;1;3
46159;2016-06;0;2442;57;0;0;0;0;11;0;0;0;0;0;0;23;0;0;0;0;0;0;0;272;0;30;0;0;4887;0;0;5016;0;3631;0;0;46;7;0;0;77;0;0;0;0;0;45;25
46160;2016-06;0;130;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;12;0;0;0;0;526;0;0;329;0;415;0;0;3;2;0;0;6;0;0;0;0;0;1;6
46161;2016-06;0;122;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;16;0;0;0;0;324;0;0;400;0;285;0;0;2;1;0;0;3;0;0;0;0;0;2;6
46162;2016-06;0;78;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;4;0;1;0;0;163;0;0;360;0;295;0;0;1;0;0;0;2;0;0;0;0;0;1;14
46163;2016-06;0;222;2;0;0;0;0;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;10;0;2;0;0;472;0;0;489;0;239;0;0;1;1;0;0;8;0;0;0;0;0;6;3
46164;2016-06;0;1307;35;0;0;0;0;7;0;0;0;0;0;0;7;0;0;0;0;0;0;0;88;0;9;0;0;2191;0;0;2767;0;1940;0;0;13;11;0;0;24;0;0;0;0;0;14;6
46165;2016-06;0;782;10;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;98;0;5;0;0;1510;0;0;1858;0;1007;0;0;13;0;0;0;39;0;0;0;0;0;16;12
46166;2016-06;0;875;27;0;0;0;0;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;84;0;7;0;0;1960;0;0;2073;0;1123;0;0;15;2;0;0;33;0;0;0;0;0;8;7
46167;2016-06;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;106;0;92;0;0;0;0;0;0;0;0;0;0;0;0;1;0
46168;2016-06;0;203;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;19;0;0;0;0;427;0;0;473;0;353;0;0;0;1;0;0;1;0;0;0;0;0;5;0
46169;2016-06;0;3599;80;0;0;0;0;6;0;0;0;0;0;0;24;0;0;0;0;0;0;0;367;0;24;0;0;6830;0;0;7031;0;5652;0;0;90;16;0;0;87;0;0;0;0;0;47;46
46170;2016-06;0;360;14;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;23;0;2;0;0;404;0;0;1038;0;820;0;0;2;1;0;0;3;0;0;0;0;0;2;5
